1,0718259,9,8,0,980
2,0718260,5,3,3,533
3,0718261,5,8,4,584
4,0718262,9,7,8,978
5,0718263,1,2,3,123
6,0718264,4,9,6,496
7,0718265,6,1,4,614
8,0718266,0,4,4,044
9,0718267,9,3,2,932
10,0718268,0,7,4,074
11,0718269,6,6,5,665
12,0718270,0,3,0,030
13,0718271,5,9,3,593
14,0718272,6,9,1,691
15,0718273,8,8,1,881
16,0718274,1,2,5,125
17,0718275,9,8,4,984
18,0718276,7,3,8,738
19,0718277,5,3,6,536
20,0718278,2,1,5,215
21,0718279,0,9,4,094
22,0718280,8,0,3,803
23,0718281,4,4,3,443
24,0718282,4,7,2,472
25,0718283,8,7,8,878
26,0718284,9,1,2,912
27,0718285,1,7,4,174
28,0718286,5,2,2,522
29,0718287,0,8,2,082
30,0718288,3,5,3,353
31,0718289,2,7,3,273
32,0718290,7,9,4,794
33,0718291,9,8,9,989
34,0718292,9,8,4,984
35,0718293,2,8,9,289
36,0718294,9,1,6,916
37,0718295,9,8,0,980
38,0718296,4,2,6,426
39,0718297,4,9,7,497
40,0718298,8,8,8,888
41,0718299,8,6,6,866
42,0718300,3,8,2,382
43,0718301,5,7,7,577
44,0718302,8,6,2,862
45,0718303,4,4,2,442
46,0718304,4,3,5,435
47,0718305,6,2,0,620
48,0718306,2,3,8,238
49,0718307,9,4,4,944
50,0718308,0,8,0,080
51,0718309,4,8,0,480
52,0718310,6,6,2,662
53,0718311,9,3,6,936
54,0718312,4,6,7,467
55,0718313,6,2,7,627
56,0718314,4,3,2,432
57,0718315,5,2,9,529
58,0718316,1,9,1,191
59,0718317,8,6,7,867
60,0718318,1,3,2,132
61,0718319,4,7,6,476
62,0718320,3,2,4,324
63,0718321,0,9,5,095
64,0718322,7,1,5,715
65,0718323,5,0,5,505
66,0718324,3,2,4,324
67,0718325,3,1,6,316
68,0718326,7,7,5,775
69,0718327,3,4,8,348
70,0718328,4,8,1,481
71,0718329,0,9,1,091
72,0718330,6,9,0,690
73,0718331,3,9,3,393
74,0718332,1,8,7,187
75,0718333,9,6,1,961
76,0718334,3,6,1,361
77,0718335,7,3,6,736
78,0718336,0,8,9,089
79,0718337,7,0,6,706
80,0718338,0,0,5,005
81,0718339,7,4,1,741
82,0718340,3,8,4,384
83,0718341,2,8,4,284
84,0718342,3,7,5,375
85,0718343,4,0,0,400
